CVE,Code,Package,Version
CVE-2015-8104,2,xen,(unfixed)
CVE-2015-8104,1,linux (PTS),5.10.223-1
CVE-2015-8104,1,virtualbox (PTS),7.0.20-dfsg-1
CVE-2015-8104,1,xen (PTS),4.14.6-1
CVE-2015-8105,2,roundcube,(not affected)
CVE-2015-8105,1,roundcube (PTS),1.4.15+dfsg.1-1+deb11u4
CVE-2015-8106,2,latex2rtf,(not affected)
CVE-2015-8106,1,latex2rtf (PTS),2.3.18a-3
CVE-2015-8107,2,a2ps,1:4.14-1.2
CVE-2015-8107,1,a2ps (PTS),1:4.14-7
CVE-2015-8124,2,symfony,2.3.21+dfsg-4+deb8u2
CVE-2015-8124,1,symfony (PTS),4.4.19+dfsg-2+deb11u6
CVE-2015-8125,2,symfony,2.3.21+dfsg-4+deb8u2
CVE-2015-8125,1,symfony (PTS),4.4.19+dfsg-2+deb11u6
CVE-2015-8126,0,,
CVE-2015-8131,0,,
CVE-2015-8138,2,ntp,1:4.2.6.p5+dfsg-2+deb7u7
CVE-2015-8138,1,ntp (PTS),1:4.2.8p15+dfsg-1
CVE-2015-8139,2,ntp,1:4.2.8p7+dfsg-1
CVE-2015-8139,1,ntp (PTS),1:4.2.8p15+dfsg-1
CVE-2015-8140,2,ntp,1:4.2.8p7+dfsg-1
CVE-2015-8140,1,ntp (PTS),1:4.2.8p15+dfsg-1
CVE-2015-8158,2,ntp,1:4.2.6.p5+dfsg-2+deb7u7
CVE-2015-8158,1,ntp (PTS),1:4.2.8p15+dfsg-1
CVE-2015-8212,0,,
CVE-2015-8213,2,python-django,1.2.3-3+squeeze15
CVE-2015-8213,1,python-django (PTS),2:2.2.28-1~deb11u2
CVE-2015-8215,2,linux,3.2.68-1+deb7u4
CVE-2015-8215,2,linux-2.6,2.6.32-48squeeze14
CVE-2015-8215,1,linux (PTS),5.10.223-1
CVE-2015-8216,2,ffmpeg,(unfixed)
CVE-2015-8216,2,libav,6:11.12-1~deb8u2
CVE-2015-8216,1,ffmpeg (PTS),7:4.3.7-0+deb11u1
CVE-2015-8217,2,ffmpeg,(not affected)
CVE-2015-8217,2,libav,(not affected)
CVE-2015-8217,1,ffmpeg (PTS),7:4.3.7-0+deb11u1
CVE-2015-8218,2,ffmpeg,(not affected)
CVE-2015-8218,2,libav,(not affected)
CVE-2015-8218,1,ffmpeg (PTS),7:4.3.7-0+deb11u1
CVE-2015-8219,2,ffmpeg,(not affected)
CVE-2015-8219,2,libav,(not affected)
CVE-2015-8219,1,ffmpeg (PTS),7:4.3.7-0+deb11u1
CVE-2015-8222,2,lxd,(not affected)
CVE-2015-8222,1,lxd (PTS),5.0.2-5
CVE-2015-8234,2,glance,(unfixed)
CVE-2015-8234,1,glance (PTS),2:21.0.0-2+deb11u1
CVE-2015-8235,2,chicken,4.10.0-1
CVE-2015-8235,1,chicken (PTS),5.2.0-2
CVE-2015-8239,2,sudo,(not affected)
CVE-2015-8239,1,sudo (PTS),1.9.5p2-3+deb11u1
CVE-2015-8241,2,libxml2,2.7.8.dfsg-2+squeeze15
CVE-2015-8241,1,libxml2 (PTS),2.9.10+dfsg-6.7+deb11u4
CVE-2015-8242,2,libxml2,(not affected)
CVE-2015-8242,1,libxml2 (PTS),2.9.10+dfsg-6.7+deb11u4
CVE-2015-8270,2,rtmpdump,2.4+20111222.git4e06e21-1+deb7u1
CVE-2015-8270,1,rtmpdump (PTS),2.4+20151223.gitfa8646d.1-2
CVE-2015-8271,2,rtmpdump,2.4+20111222.git4e06e21-1+deb7u1
CVE-2015-8271,1,rtmpdump (PTS),2.4+20151223.gitfa8646d.1-2
CVE-2015-8272,2,rtmpdump,2.4+20111222.git4e06e21-1+deb7u1
CVE-2015-8272,1,rtmpdump (PTS),2.4+20151223.gitfa8646d.1-2
CVE-2015-8308,2,lxdm,0.5.3-1
CVE-2015-8308,1,lxdm (PTS),0.5.3-4
CVE-2015-8312,2,openafs,1.6.1-3+deb7u6
CVE-2015-8312,1,openafs (PTS),1.8.6-5
CVE-2015-8313,2,gnutls26,2.8.6-1+squeeze6
CVE-2015-8313,2,gnutls28,(not affected)
CVE-2015-8313,1,gnutls28 (PTS),3.7.1-5+deb11u5
CVE-2015-8314,2,ruby-devise,3.5.6-2
CVE-2015-8314,1,ruby-devise (PTS),4.7.3-2
CVE-2015-8315,2,node-ms,(not affected)
CVE-2015-8315,1,node-ms (PTS),2.1.3+~cs0.7.31-1
CVE-2015-8316,2,lightdm,(not affected)
CVE-2015-8316,1,lightdm (PTS),1.26.0-7
CVE-2015-8317,2,libxml2,2.7.8.dfsg-2+squeeze15
CVE-2015-8317,1,libxml2 (PTS),2.9.10+dfsg-6.7+deb11u4
CVE-2015-8324,2,linux,2.6.37-1
CVE-2015-8324,2,linux-2.6,2.6.32-48squeeze17
CVE-2015-8324,1,linux (PTS),5.10.223-1
CVE-2015-8325,2,openssh,1:6.0p1-4+deb7u4
CVE-2015-8325,1,openssh (PTS),1:8.4p1-5+deb11u3
CVE-2015-8326,2,libiptables-parse-perl,1.1-1+deb7u1
CVE-2015-8326,1,libiptables-parse-perl (PTS),1.6-2
CVE-2015-8327,2,cups-filters,(not affected)
CVE-2015-8327,2,foomatic-filters,4.0.5-6+squeeze2+deb6u11
CVE-2015-8327,1,cups-filters (PTS),1.28.7-1+deb11u2
CVE-2015-8327,1,foomatic-filters (PTS),4.0.17-12
CVE-2015-8338,2,xen,(not affected)
CVE-2015-8338,1,xen (PTS),4.14.6-1
CVE-2015-8339,2,xen,(unfixed)
CVE-2015-8339,1,xen (PTS),4.14.6-1
CVE-2015-8340,2,xen,(unfixed)
CVE-2015-8340,1,xen (PTS),4.14.6-1
CVE-2015-8341,2,xen,(unfixed)
CVE-2015-8341,1,xen (PTS),4.14.6-1
CVE-2015-8345,2,qemu,(unfixed)
CVE-2015-8345,2,qemu-kvm,(unfixed)
CVE-2015-8345,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8346,2,redmine,(unfixed)
CVE-2015-8346,1,redmine (PTS),5.0.4-5+deb12u1
CVE-2015-8363,2,ffmpeg,(unfixed)
CVE-2015-8363,2,libav,(not affected)
CVE-2015-8363,1,ffmpeg (PTS),7:4.3.7-0+deb11u1
CVE-2015-8364,2,ffmpeg,(unfixed)
CVE-2015-8364,2,libav,6:11.12-1~deb8u2
CVE-2015-8364,1,ffmpeg (PTS),7:4.3.7-0+deb11u1
CVE-2015-8365,2,ffmpeg,(unfixed)
CVE-2015-8365,2,libav,6:0.8.21-0+deb7u1
CVE-2015-8365,1,ffmpeg (PTS),7:4.3.7-0+deb11u1
CVE-2015-8366,2,darktable,(not affected)
CVE-2015-8366,2,dcraw,(not affected)
CVE-2015-8366,2,exactimage,(not affected)
CVE-2015-8366,2,kodi,(not affected)
CVE-2015-8366,2,libraw,(not affected)
CVE-2015-8366,2,rawtherapee,(not affected)
CVE-2015-8366,2,ufraw,(not affected)
CVE-2015-8366,1,darktable (PTS),3.4.1-5
CVE-2015-8366,1,dcraw (PTS),9.28-2
CVE-2015-8366,1,exactimage (PTS),1.0.2-8
CVE-2015-8366,1,kodi (PTS),2:19.1+dfsg2-2+deb11u1
CVE-2015-8366,1,libraw (PTS),0.20.2-1+deb11u1
CVE-2015-8366,1,rawtherapee (PTS),5.8-3
CVE-2015-8367,2,darktable,(not affected)
CVE-2015-8367,2,dcraw,(not affected)
CVE-2015-8367,2,exactimage,(not affected)
CVE-2015-8367,2,kodi,(not affected)
CVE-2015-8367,2,libraw,(not affected)
CVE-2015-8367,2,rawtherapee,(not affected)
CVE-2015-8367,2,ufraw,(not affected)
CVE-2015-8367,1,darktable (PTS),3.4.1-5
CVE-2015-8367,1,dcraw (PTS),9.28-2
CVE-2015-8367,1,exactimage (PTS),1.0.2-8
CVE-2015-8367,1,kodi (PTS),2:19.1+dfsg2-2+deb11u1
CVE-2015-8367,1,libraw (PTS),0.20.2-1+deb11u1
CVE-2015-8367,1,rawtherapee (PTS),5.8-3
CVE-2015-8368,2,ntopng,2.2+dfsg1-1
CVE-2015-8368,1,ntopng (PTS),5.2.1+dfsg1-2
CVE-2015-8369,2,cacti,0.8.7g-1+squeeze9+deb6u11
CVE-2015-8369,1,cacti (PTS),1.2.16+ds1-2+deb11u3
CVE-2015-8370,2,grub2,1.98+20100804-14+squeeze2
CVE-2015-8370,1,grub2 (PTS),2.06-3~deb11u6
CVE-2015-8371,2,composer,1.0.0~alpha11-3
CVE-2015-8371,1,composer (PTS),2.0.9-2+deb11u4
CVE-2015-8374,2,linux,3.2.78-1
CVE-2015-8374,2,linux-2.6,(unfixed)
CVE-2015-8374,1,linux (PTS),5.10.223-1
CVE-2015-8377,2,cacti,0.8.7g-1+squeeze9+deb6u11
CVE-2015-8377,1,cacti (PTS),1.2.16+ds1-2+deb11u3
CVE-2015-8378,2,keepassx,0.4.3+dfsg-0.1+deb8u1
CVE-2015-8378,1,keepassx (PTS),2.0.3+git20190121.1682ab9-2.2
CVE-2015-8379,2,cakephp,(not affected)
CVE-2015-8379,1,cakephp (PTS),2.10.11-2.1
CVE-2015-8380,2,pcre2,(not affected)
CVE-2015-8380,2,pcre3,(not affected)
CVE-2015-8380,1,pcre2 (PTS),10.36-2+deb11u1
CVE-2015-8380,1,pcre3 (PTS),2:8.39-13
CVE-2015-8381,2,pcre3,(not affected)
CVE-2015-8381,1,pcre3 (PTS),2:8.39-13
CVE-2015-8382,2,pcre3,2:8.35-3.3+deb8u2
CVE-2015-8382,1,pcre3 (PTS),2:8.39-13
CVE-2015-8383,2,pcre3,(not affected)
CVE-2015-8383,1,pcre3 (PTS),2:8.39-13
CVE-2015-8384,2,pcre3,(not affected)
CVE-2015-8384,1,pcre3 (PTS),2:8.39-13
CVE-2015-8385,2,pcre3,2:8.35-3.3+deb8u2
CVE-2015-8385,1,pcre3 (PTS),2:8.39-13
CVE-2015-8386,2,pcre3,(not affected)
CVE-2015-8386,1,pcre3 (PTS),2:8.39-13
CVE-2015-8387,2,pcre3,2:8.35-3.3+deb8u2
CVE-2015-8387,1,pcre3 (PTS),2:8.39-13
CVE-2015-8388,2,pcre3,2:8.35-3.3+deb8u1
CVE-2015-8388,1,pcre3 (PTS),2:8.39-13
CVE-2015-8389,2,pcre3,(not affected)
CVE-2015-8389,1,pcre3 (PTS),2:8.39-13
CVE-2015-8390,2,pcre3,2:8.35-3.3+deb8u2
CVE-2015-8390,1,pcre3 (PTS),2:8.39-13
CVE-2015-8391,2,pcre3,(not affected)
CVE-2015-8391,1,pcre3 (PTS),2:8.39-13
CVE-2015-8392,2,pcre3,(not affected)
CVE-2015-8392,1,pcre3 (PTS),2:8.39-13
CVE-2015-8393,2,pcre3,2:8.35-3.3+deb8u2
CVE-2015-8393,1,pcre3 (PTS),2:8.39-13
CVE-2015-8394,2,pcre3,2:8.35-3.3+deb8u2
CVE-2015-8394,1,pcre3 (PTS),2:8.39-13
CVE-2015-8395,2,pcre3,(not affected)
CVE-2015-8395,1,pcre3 (PTS),2:8.39-13
CVE-2015-8396,2,gdcm,(not affected)
CVE-2015-8396,1,gdcm (PTS),3.0.8-2
CVE-2015-8397,2,gdcm,(not affected)
CVE-2015-8397,1,gdcm (PTS),3.0.8-2
CVE-2015-8400,2,shellinabox,2.19
CVE-2015-8400,1,shellinabox (PTS),2.21
CVE-2015-8401,0,,
CVE-2015-8402,0,,
CVE-2015-8403,0,,
CVE-2015-8404,0,,
CVE-2015-8405,0,,
CVE-2015-8406,0,,
CVE-2015-8407,0,,
CVE-2015-8408,0,,
CVE-2015-8409,0,,
CVE-2015-8410,0,,
CVE-2015-8411,0,,
CVE-2015-8412,0,,
CVE-2015-8413,0,,
CVE-2015-8414,0,,
CVE-2015-8415,0,,
CVE-2015-8416,0,,
CVE-2015-8417,0,,
CVE-2015-8418,0,,
CVE-2015-8419,0,,
CVE-2015-8420,0,,
CVE-2015-8421,0,,
CVE-2015-8422,0,,
CVE-2015-8423,0,,
CVE-2015-8424,0,,
CVE-2015-8425,0,,
CVE-2015-8426,0,,
CVE-2015-8427,0,,
CVE-2015-8428,0,,
CVE-2015-8429,0,,
CVE-2015-8430,0,,
CVE-2015-8431,0,,
CVE-2015-8432,0,,
CVE-2015-8433,0,,
CVE-2015-8434,0,,
CVE-2015-8435,0,,
CVE-2015-8436,0,,
CVE-2015-8437,0,,
CVE-2015-8438,0,,
CVE-2015-8439,0,,
CVE-2015-8440,0,,
CVE-2015-8441,0,,
CVE-2015-8442,0,,
CVE-2015-8443,0,,
CVE-2015-8444,0,,
CVE-2015-8445,0,,
CVE-2015-8446,0,,
CVE-2015-8447,0,,
CVE-2015-8448,0,,
CVE-2015-8449,0,,
CVE-2015-8450,0,,
CVE-2015-8451,0,,
CVE-2015-8452,0,,
CVE-2015-8453,0,,
CVE-2015-8454,0,,
CVE-2015-8455,0,,
CVE-2015-8456,0,,
CVE-2015-8457,0,,
CVE-2015-8459,0,,
CVE-2015-8460,0,,
CVE-2015-8466,0,,
CVE-2015-8467,2,samba,(not affected)
CVE-2015-8467,1,samba (PTS),2:4.13.13+dfsg-1~deb11u6
CVE-2015-8472,2,libpng,1.2.44-1+squeeze6
CVE-2015-8472,2,libpng1.6,1.6.20-1
CVE-2015-8472,2,openjdk-6,6b38-1.13.10-1~deb6u1
CVE-2015-8472,1,libpng1.6 (PTS),1.6.37-3
CVE-2015-8473,2,redmine,(not affected)
CVE-2015-8473,1,redmine (PTS),5.0.4-5+deb12u1
CVE-2015-8474,2,redmine,(unfixed)
CVE-2015-8474,1,redmine (PTS),5.0.4-5+deb12u1
CVE-2015-8476,2,libphp-phpmailer,5.1-1+deb6u11
CVE-2015-8476,1,libphp-phpmailer (PTS),6.2.0-2
CVE-2015-8477,2,redmine,(unfixed)
CVE-2015-8477,1,redmine (PTS),5.0.4-5+deb12u1
CVE-2015-8478,0,,
CVE-2015-8479,0,,
CVE-2015-8480,0,,
CVE-2015-8504,2,qemu,(unfixed)
CVE-2015-8504,2,qemu-kvm,(unfixed)
CVE-2015-8504,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8537,2,redmine,(not affected)
CVE-2015-8537,1,redmine (PTS),5.0.4-5+deb12u1
CVE-2015-8538,2,dwarfutils,(not affected)
CVE-2015-8538,1,dwarfutils (PTS),20201201-1
CVE-2015-8539,2,linux,(not affected)
CVE-2015-8539,2,linux-2.6,(not affected)
CVE-2015-8539,1,linux (PTS),5.10.223-1
CVE-2015-8540,0,,
CVE-2015-8543,2,linux,3.2.73-2+deb7u2
CVE-2015-8543,2,linux-2.6,2.6.32-48squeeze18
CVE-2015-8543,1,linux (PTS),5.10.223-1
CVE-2015-8547,2,quassel,(not affected)
CVE-2015-8547,1,quassel (PTS),1:0.13.1-5
CVE-2015-8548,0,,
CVE-2015-8549,0,,
CVE-2015-8550,2,linux,4.4~rc6-1~exp1
CVE-2015-8550,2,linux-2.6,(unfixed)
CVE-2015-8550,2,qemu,(not affected)
CVE-2015-8550,2,qemu-kvm,(not affected)
CVE-2015-8550,2,xen,(unfixed)
CVE-2015-8550,1,linux (PTS),5.10.223-1
CVE-2015-8550,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8550,1,xen (PTS),4.14.6-1
CVE-2015-8551,2,linux,4.4~rc6-1~exp1
CVE-2015-8551,2,linux-2.6,(unfixed)
CVE-2015-8551,1,linux (PTS),5.10.223-1
CVE-2015-8552,2,linux,4.4~rc6-1~exp1
CVE-2015-8552,2,linux-2.6,(unfixed)
CVE-2015-8552,1,linux (PTS),5.10.223-1
CVE-2015-8553,2,linux,4.9.168-1+deb9u5
CVE-2015-8553,2,linux-2.6,(unfixed)
CVE-2015-8553,1,linux (PTS),5.10.223-1
CVE-2015-8554,2,xen,(unfixed)
CVE-2015-8554,1,xen (PTS),4.14.6-1
CVE-2015-8555,2,xen,(unfixed)
CVE-2015-8555,1,xen (PTS),4.14.6-1
CVE-2015-8557,2,pygments,1.3.1+dfsg-1+deb6u11
CVE-2015-8557,1,pygments (PTS),2.7.1+dfsg-2.1
CVE-2015-8558,2,qemu,(unfixed)
CVE-2015-8558,2,qemu-kvm,(unfixed)
CVE-2015-8558,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8559,0,,
CVE-2015-8560,2,cups-filters,(not affected)
CVE-2015-8560,2,foomatic-filters,4.0.5-6+squeeze2+deb6u12
CVE-2015-8560,1,cups-filters (PTS),1.28.7-1+deb11u2
CVE-2015-8560,1,foomatic-filters (PTS),4.0.17-12
CVE-2015-8566,0,,
CVE-2015-8567,2,qemu,(not affected)
CVE-2015-8567,2,qemu-kvm,(not affected)
CVE-2015-8567,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8568,2,qemu,(not affected)
CVE-2015-8568,2,qemu-kvm,(not affected)
CVE-2015-8568,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8569,2,linux,3.2.73-2+deb7u2
CVE-2015-8569,2,linux-2.6,(not affected)
CVE-2015-8569,1,linux (PTS),5.10.223-1
CVE-2015-8575,2,linux,3.2.73-2+deb7u2
CVE-2015-8575,2,linux-2.6,2.6.32-48squeeze18
CVE-2015-8575,1,linux (PTS),5.10.223-1
CVE-2015-8604,2,cacti,0.8.7g-1+squeeze9+deb6u14
CVE-2015-8604,1,cacti (PTS),1.2.16+ds1-2+deb11u3
CVE-2015-8605,2,isc-dhcp,4.1.1-P1-15+squeeze10
CVE-2015-8605,1,isc-dhcp (PTS),4.4.1-2.3+deb11u2
CVE-2015-8606,0,,
CVE-2015-8607,2,libfile-spec-perl,(not affected)
CVE-2015-8607,2,perl,(not affected)
CVE-2015-8607,1,perl (PTS),5.32.1-4+deb11u3
CVE-2015-8612,2,blueman,(not affected)
CVE-2015-8612,1,blueman (PTS),2.1.4-1
CVE-2015-8613,2,qemu,(not affected)
CVE-2015-8613,2,qemu-kvm,(not affected)
CVE-2015-8613,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8614,2,claws-mail,3.7.6-4+squeeze2
CVE-2015-8614,2,macopix,1.7.4-6
CVE-2015-8614,1,claws-mail (PTS),3.17.8-1
CVE-2015-8614,1,macopix (PTS),3.4.0+dfsg.1-3
CVE-2015-8615,2,xen,(not affected)
CVE-2015-8615,1,xen (PTS),4.14.6-1
CVE-2015-8619,2,qemu,(not affected)
CVE-2015-8619,2,qemu-kvm,(not affected)
CVE-2015-8619,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8621,2,t-coffee,(not affected)
CVE-2015-8621,1,t-coffee (PTS),13.41.0.28bdc39+dfsg-4
CVE-2015-8622,2,mediawiki,(unfixed)
CVE-2015-8622,1,mediawiki (PTS),1:1.35.13-1+deb11u2
CVE-2015-8623,2,mediawiki,(unfixed)
CVE-2015-8623,1,mediawiki (PTS),1:1.35.13-1+deb11u2
CVE-2015-8624,2,mediawiki,(unfixed)
CVE-2015-8624,1,mediawiki (PTS),1:1.35.13-1+deb11u2
CVE-2015-8626,2,mediawiki,(unfixed)
CVE-2015-8626,1,mediawiki (PTS),1:1.35.13-1+deb11u2
CVE-2015-8627,2,mediawiki,(unfixed)
CVE-2015-8627,1,mediawiki (PTS),1:1.35.13-1+deb11u2
CVE-2015-8628,2,mediawiki,(unfixed)
CVE-2015-8628,1,mediawiki (PTS),1:1.35.13-1+deb11u2
CVE-2015-8629,2,krb5,1.8.3+dfsg-4squeeze11
CVE-2015-8629,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2015-8630,2,krb5,(not affected)
CVE-2015-8630,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2015-8631,2,krb5,1.8.3+dfsg-4squeeze11
CVE-2015-8631,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2015-8634,0,,
CVE-2015-8635,0,,
CVE-2015-8636,0,,
CVE-2015-8638,0,,
CVE-2015-8639,0,,
CVE-2015-8640,0,,
CVE-2015-8641,0,,
CVE-2015-8642,0,,
CVE-2015-8643,0,,
CVE-2015-8644,0,,
CVE-2015-8645,0,,
CVE-2015-8646,0,,
CVE-2015-8647,0,,
CVE-2015-8648,0,,
CVE-2015-8649,0,,
CVE-2015-8650,0,,
CVE-2015-8651,0,,
CVE-2015-8652,0,,
CVE-2015-8653,0,,
CVE-2015-8654,0,,
CVE-2015-8655,0,,
CVE-2015-8656,0,,
CVE-2015-8657,0,,
CVE-2015-8658,0,,
CVE-2015-8659,2,nghttp2,(not affected)
CVE-2015-8659,1,nghttp2 (PTS),1.43.0-1+deb11u1
CVE-2015-8660,2,linux,(not affected)
CVE-2015-8660,2,linux-2.6,(not affected)
CVE-2015-8660,1,linux (PTS),5.10.223-1
CVE-2015-8661,2,ffmpeg,(unfixed)
CVE-2015-8661,2,libav,6:11.12-1~deb8u2
CVE-2015-8661,1,ffmpeg (PTS),7:4.3.7-0+deb11u1
CVE-2015-8662,2,ffmpeg,(unfixed)
CVE-2015-8662,2,libav,(not affected)
CVE-2015-8662,1,ffmpeg (PTS),7:4.3.7-0+deb11u1
CVE-2015-8663,2,ffmpeg,(unfixed)
CVE-2015-8663,2,libav,6:11.12-1~deb8u2
CVE-2015-8663,1,ffmpeg (PTS),7:4.3.7-0+deb11u1
CVE-2015-8664,0,,
CVE-2015-8665,2,tiff,3.9.4-5+squeeze13
CVE-2015-8665,2,tiff3,3.9.6-11+deb7u1
CVE-2015-8665,1,tiff (PTS),4.2.0-1+deb11u5
CVE-2015-8666,2,qemu,(unfixed)
CVE-2015-8666,2,qemu-kvm,(unfixed)
CVE-2015-8666,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8668,2,tiff,4.0.2-6+deb7u7
CVE-2015-8668,2,tiff3,(not affected)
CVE-2015-8668,1,tiff (PTS),4.2.0-1+deb11u5
CVE-2015-8669,2,phpmyadmin,(not affected)
CVE-2015-8669,1,phpmyadmin (PTS),4:5.0.4+dfsg2-2+deb11u1
CVE-2015-8683,2,tiff,3.9.4-5+squeeze13
CVE-2015-8683,2,tiff3,3.9.6-11+deb7u1
CVE-2015-8683,1,tiff (PTS),4.2.0-1+deb11u5
CVE-2015-8685,0,,
CVE-2015-8688,2,gajim,0.13.4-3+squeeze4
CVE-2015-8688,1,gajim (PTS),1.3.1-1
CVE-2015-8697,2,stalin,(unfixed)
CVE-2015-8697,1,stalin (PTS),0.11-6
CVE-2015-8701,2,qemu,(not affected)
CVE-2015-8701,2,qemu-kvm,(not affected)
CVE-2015-8701,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8702,2,inspircd,1.1.22+dfsg-4+squeeze3
CVE-2015-8702,1,inspircd (PTS),3.8.1-2
CVE-2015-8704,2,bind9,1:9.7.3.dfsg-1~squeeze19
CVE-2015-8704,1,bind9 (PTS),1:9.16.50-1~deb11u2
CVE-2015-8708,2,claws-mail,(not affected)
CVE-2015-8708,2,macopix,(not affected)
CVE-2015-8708,1,claws-mail (PTS),3.17.8-1
CVE-2015-8708,1,macopix (PTS),3.4.0+dfsg.1-3
CVE-2015-8709,2,linux,(not affected)
CVE-2015-8709,2,linux-2.6,(not affected)
CVE-2015-8709,1,linux (PTS),5.10.223-1
CVE-2015-8710,2,libxml2,2.7.8.dfsg-2+squeeze12
CVE-2015-8710,1,libxml2 (PTS),2.9.10+dfsg-6.7+deb11u4
CVE-2015-8711,2,wireshark,(unfixed)
CVE-2015-8711,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8712,2,wireshark,(unfixed)
CVE-2015-8712,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8713,2,wireshark,(unfixed)
CVE-2015-8713,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8714,2,wireshark,(unfixed)
CVE-2015-8714,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8715,2,wireshark,(unfixed)
CVE-2015-8715,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8716,2,wireshark,(unfixed)
CVE-2015-8716,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8717,2,wireshark,(unfixed)
CVE-2015-8717,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8718,2,wireshark,(unfixed)
CVE-2015-8718,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8719,2,wireshark,(unfixed)
CVE-2015-8719,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8720,2,wireshark,(unfixed)
CVE-2015-8720,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8721,2,wireshark,(unfixed)
CVE-2015-8721,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8722,2,wireshark,(unfixed)
CVE-2015-8722,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8723,2,wireshark,(unfixed)
CVE-2015-8723,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8724,2,wireshark,(unfixed)
CVE-2015-8724,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8725,2,wireshark,(unfixed)
CVE-2015-8725,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8726,2,wireshark,(not affected)
CVE-2015-8726,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8727,2,wireshark,(unfixed)
CVE-2015-8727,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8728,2,wireshark,(unfixed)
CVE-2015-8728,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8729,2,wireshark,(unfixed)
CVE-2015-8729,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8730,2,wireshark,(not affected)
CVE-2015-8730,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8731,2,wireshark,(unfixed)
CVE-2015-8731,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8732,2,wireshark,(not affected)
CVE-2015-8732,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8733,2,wireshark,(unfixed)
CVE-2015-8733,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8734,2,wireshark,(not affected)
CVE-2015-8734,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8735,2,wireshark,(not affected)
CVE-2015-8735,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8736,2,wireshark,(not affected)
CVE-2015-8736,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8737,2,wireshark,(not affected)
CVE-2015-8737,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8738,2,wireshark,(not affected)
CVE-2015-8738,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8739,2,wireshark,(not affected)
CVE-2015-8739,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8740,2,wireshark,(not affected)
CVE-2015-8740,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8741,2,wireshark,(not affected)
CVE-2015-8741,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8742,2,wireshark,(not affected)
CVE-2015-8742,1,wireshark (PTS),3.4.10-0+deb11u1
CVE-2015-8743,2,qemu,(unfixed)
CVE-2015-8743,2,qemu-kvm,(unfixed)
CVE-2015-8743,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8744,2,qemu,(not affected)
CVE-2015-8744,2,qemu-kvm,(not affected)
CVE-2015-8744,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8745,2,qemu,(not affected)
CVE-2015-8745,2,qemu-kvm,(not affected)
CVE-2015-8745,1,qemu (PTS),1:5.2+dfsg-11+deb11u3
CVE-2015-8746,2,linux,(not affected)
CVE-2015-8746,2,linux-2.6,(not affected)
CVE-2015-8746,1,linux (PTS),5.10.223-1
